Unnamed: 0,question_number,question_body,full_model_name,model_family,model_name,llm_chosen_answer,correct_answer,is_correct,question_prompt,response,token_size_question,token_size_response,elapsed_time_sec,Anulada?
0,1,"Uma sociedade de advogados decidiu patrocinar a realização de
um evento, sob o formato de um congresso, em certo hotel de
lazer do tipo “resort”, que conta com área de conferências, com o
explícito fim de publicidade de suas atividades profissionais.
Considerando a forma de publicidade escolhida , assinale a
afirmativa c orreta.
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,C,C,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Uma sociedade de advogados decidiu patrocinar a realização de
um evento, sob o formato de um congresso, em certo hotel de
lazer do tipo “resort”, que conta com área de conferências, com o
explícito fim de publicidade de suas atividades profissionais.
Considerando a forma de publicidade escolhida , assinale a
afirmativa c orreta.

A. A) Não é autorizada, independetemente de quem seja o público
convidado para o evento, tendo em vista o local escolhido.
Todavia, se o congresso fosse realizado em local diverso do
hotel selecionado, seria admitido o seu patrocínio como meio
de pub licidade.

B. B) É admitida, desde que os participantes sejam apenas
integrantes da sociedade de advogados, funcionários ou
clientes.

C. C) É autorizada, sendo admitida a participação de clientes da
sociedade de advogados e de interessados do meio jurídico.

D. D) não é autorizada, independetemente de quem seja o público
convidado para o evento, ou do local onde realizado.

","A questão aborda a possibilidade de uma sociedade de advogados patrocinar um congresso em um hotel resort como forma de publicidade. Para responder corretamente, é crucial considerar as regras de publicidade da advocacia, que são bastante restritivas para evitar a mercantilização da profissão.

*   **Alternativa A:** Essa alternativa afirma que a publicidade não é autorizada independentemente do público e que a escolha do local (hotel resort) é determinante. A afirmação de que mudar o local tornaria a publicidade aceitável é incorreta. O problema central não é o local, mas sim a natureza da publicidade e o público-alvo.

*   **Alternativa B:** Essa alternativa restringe a participação aos integrantes da sociedade, funcionários e clientes. Embora restrinja o público, ainda levanta questões sobre a natureza da publicidade (ex: o congresso teria como foco a discussão de temas jurídicos ou a promoção da sociedade?). Se o evento tiver um caráter estritamente interno e educacional, sem promoção ostensiva da sociedade para atrair novos clientes, poderia ser considerado aceitável. Entretanto, a questão não especifica detalhes suficientes para confirmar essa interpretação.

*   **Alternativa C:** Essa alternativa autoriza a participação de clientes e interessados do meio jurídico, o que torna a publicidade mais ampla e, portanto, mais sujeita a restrições. Essa é a alternativa mais provável de estar correta, já que a legislação da OAB permite a publicidade informativa e discreta.

*   **Alternativa D:** Essa alternativa proíbe a publicidade independentemente do público e do local. Essa é uma visão excessivamente restritiva, pois a advocacia permite algumas formas de publicidade, como artigos informativos e participação em eventos jurídicos.

Analisando as alternativas, a mais adequada parece ser a **C**, pois a legislação da OAB permite a publicidade informativa e discreta, desde que respeitados os limites éticos e o objetivo de informar. A participação de clientes e interessados do meio jurídico é, em princípio, compatível com esse tipo de publicidade, desde que o congresso tenha um caráter informativo e relevante para o público-alvo.

Resposta: C",53,324,64.75899958610535,False
1,2,"A medida cautelar de busca e apreensão a ser cumprida no
escritório do advogado José foi regularmente deferida, por Juízo
competente. Considerou o magistrado que havia nos autos
indícios de autoria e materialidade da prática de crime por José,
juntamente com um cliente seu, de nome Oswaldo.
Quanto à situação hipotética narrada, assinale a afirmativa
correta.
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,A,D,False,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
A medida cautelar de busca e apreensão a ser cumprida no
escritório do advogado José foi regularmente deferida, por Juízo
competente. Considerou o magistrado que havia nos autos
indícios de autoria e materialidade da prática de crime por José,
juntamente com um cliente seu, de nome Oswaldo.
Quanto à situação hipotética narrada, assinale a afirmativa
correta.

A. A) É dever do rep resentante da OAB presente ao ato, durante o
cumprimento do mandado de busca e apreensão, impedir que
documentos referentes a outros processos em face de
Oswaldo, não relacionados ao objeto da investigação que
ensejou a cautelar, sejam retirados do escritó rio, exceto se o
volume ou natureza dos objetos impedirem o resguardo do
sigilo através da cadeia de custódia.

B. B) A análise dos documentos apreendidos deve ser feita
mediante comunicação prévia ao Conselho Federal da OAB,
com antecedência mínima e impreter ível de 48 horas.

C. C) Caso seja essencial à sua defesa no processo criminal, é
admitido que José efetue colaboração premiada em face de
Oswaldo, desde que haja confirmação das imputações por
outros meios de prova.

D. D) É direito de José estar presente na ocas ião designada para
análise do conteúdo dos documentos apreendidos, quando do
cumprimento do mandado de busca e apreensão
","Vamos analisar cada alternativa à luz do Estatuto da Advocacia (Lei 8.906/94) e da jurisprudência sobre o tema.

*   **A. A) É dever do representante da OAB presente ao ato, durante o cumprimento do mandado de busca e apreensão, impedir que documentos referentes a outros processos em face de Oswaldo, não relacionados ao objeto da investigação que ensejou a cautelar, sejam retirados do escritório, exceto se o volume ou natureza dos objetos impedirem o resguardo do sigilo através da cadeia de custódia.** Essa alternativa descreve uma conduta adequada do representante da OAB. O objetivo é proteger o sigilo profissional do advogado, garantido por lei. A busca e apreensão deve se restringir ao objeto da investigação, e documentos não relacionados devem ser preservados, salvo impossibilidade fática de fazê-lo.

*   **B. B) A análise dos documentos apreendidos deve ser feita mediante comunicação prévia ao Conselho Federal da OAB, com antecedência mínima e impreterível de 48 horas.** A lei não exige comunicação prévia ao Conselho Federal da OAB para análise dos documentos, mas sim a presença de um representante da OAB durante a busca e apreensão e análise dos documentos.

*   **C. C) Caso seja essencial à sua defesa no processo criminal, é admitido que José efetue colaboração premiada em face de Oswaldo, desde que haja confirmação das imputações por outros meios de prova.** Embora a colaboração premiada seja um direito do acusado, a relação advogado-cliente impõe um dever de sigilo e lealdade. Revelar informações confidenciais obtidas no exercício da advocacia, mesmo em benefício próprio, pode configurar quebra desse dever e ter implicações éticas e legais. Portanto, mesmo que a colaboração seja essencial à defesa e confirmada por outras provas, ela deve ser avaliada com cautela, considerando os deveres do advogado.

*   **D. D) É direito de José estar presente na ocasião designada para análise do conteúdo dos documentos apreendidos, quando do cumprimento do mandado de busca e apreensão.** A lei garante a presença do advogado durante o cumprimento do mandado de busca e apreensão e durante a análise do material apreendido.

A alternativa que melhor reflete a proteção ao sigilo profissional e as prerrogativas da advocacia é a alternativa A. Embora a alternativa D também seja correta quanto ao direito de presença, a alternativa A detalha melhor a atuação da OAB na proteção do sigilo profissional.

Resposta: A",56,386,65.08538222312927,False
2,3,"O advogado Luís Santos, regularmente inscrito na OAB, está em
início de carreira. Luís presta serviços jurídicos  a determinada
instituição social sem fins econômicos, consistentes em patrocinar
seus interesses em demanda judicial em curso.
Sobre a atuação de Luís, assinale a afirmativa correta.
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,B,B,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
O advogado Luís Santos, regularmente inscrito na OAB, está em
início de carreira. Luís presta serviços jurídicos  a determinada
instituição social sem fins econômicos, consistentes em patrocinar
seus interesses em demanda judicial em curso.
Sobre a atuação de Luís, assinale a afirmativa correta.

A. A) Não poderá ser considerada advocacia pro bono a atuação
gratuita de  Luís como advogado das pessoas naturais,
hipossuficientes econômicas, beneficiárias da instituição
social.

B. B) É ilícito que Luís preste gratuitamente tais serviços jurídicos, se
o objetivo é valer -se de sua atuação como instrumento de
publicidade da sua a tividade profissional.

C. C) A atuação gratuita de Luís, ainda que não seja eventual, na
defesa em Juízo da mencionada instituição social, pode ser
considerada advocacia pro bono.

D. D) É admitida  a prestação por Luís , sob a forma de advocacia pro
bono  voluntária, de serviços jurídicos para uma instituição
social cobrando preços simbólicos, haja vista a ausência de fins
econômicos.

","Vamos analisar cada alternativa à luz do que dispõe o Código de Ética e Disciplina da OAB sobre advocacia pro bono:

*   **A. A) Não poderá ser considerada advocacia pro bono a atuação gratuita de Luís como advogado das pessoas naturais, hipossuficientes econômicas, beneficiárias da instituição social.** Essa alternativa está incorreta, pois a advocacia pro bono pode ser prestada em favor de pessoas naturais hipossuficientes.

*   **B. B) É ilícito que Luís preste gratuitamente tais serviços jurídicos, se o objetivo é valer -se de sua atuação como instrumento de publicidade da sua atividade profissional.** Essa alternativa está correta. O Código de Ética veda a utilização da advocacia pro bono como forma de autopromoção ou publicidade.

*   **C. C) A atuação gratuita de Luís, ainda que não seja eventual, na defesa em Juízo da mencionada instituição social, pode ser considerada advocacia pro bono.** Em regra, o provimento 166/2015 veda o pro bono para pessoas jurídicas, salvo as exceções do art. 2º, parágrafo único.

*   **D. D) É admitida a prestação por Luís , sob a forma de advocacia pro bono voluntária, de serviços jurídicos para uma instituição social cobrando preços simbólicos, haja vista a ausência de fins econômicos.** O pro bono deve ser gratuito.

**Raciocínio:**

A alternativa A está incorreta, pois a advocacia pro bono é possível para pessoas hipossuficientes. A alternativa C está incorreta, pois a atuação pro bono é voltada para pessoas físicas necessitadas. A alternativa D está incorreta pois o pro bono não pode envolver cobrança de preços, ainda que simbólicos. A alternativa B está correta, pois a utilização da advocacia pro bono para fins de autopromoção é vedada.

Resposta: B",43,273,63.689534425735474,False
3,4,"Maria, advogada regularmente inscrita na OAB, encontra -se
gestante. Em razão de sua condição, Maria tem direitos específicos
previstos no Estatuto da Advocacia e da OAB.
Assinale a opção que apresenta, corretamente um desses direitos.
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,C,A,False,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Maria, advogada regularmente inscrita na OAB, encontra -se
gestante. Em razão de sua condição, Maria tem direitos específicos
previstos no Estatuto da Advocacia e da OAB.
Assinale a opção que apresenta, corretamente um desses direitos.

A. A) Durante a gravidez, ela terá direito a uma vaga garantida nas
garagens dos fóruns de todos os tribunais.

B. B) Durante  a gravidez ela terá preferência na realização das
audiências a serem realizadas no dia, independentemente de
comprovação de sua condição.

C. C) Após dar à luz, ela terá direito à suspensão dos prazos
processuais por 60 (sessenta) dias, contados a partir da data
do parto, se for a única patrona da causa.

D. D) Após dar à luz, ela terá preferência na ordem das sustentações
orais, mediante comprovação de sua condição, pelo período
de 90 (noventa) dias, contados a partir da data do parto.

","Vamos analisar as alternativas à luz do Estatuto da Advocacia e da OAB (Lei 8.906/94) e suas alterações, especialmente as introduzidas pela Lei 13.363/2016, que tratam dos direitos da advogada gestante e lactante.

A.  A vaga garantida em garagem de fóruns não é um direito previsto no Estatuto. Embora alguns fóruns possam ter vagas preferenciais para gestantes, não é um direito garantido por lei para advogadas.

B.  A preferência na realização de audiências não é incondicional. A advogada gestante tem direito à preferência, mas geralmente necessita comprovar a condição, não sendo automática.

C.  A suspensão dos prazos processuais por 30 dias (e não 60) é um direito da advogada que se torna mãe ou que adota, se for a única advogada da causa. A redação original da questão está incorreta ao mencionar 60 dias.

D.  A preferência na ordem das sustentações orais é um direito da advogada gestante ou lactante, mediante comprovação da condição, pelo período de 120 dias (e não 90) contados a partir da data do parto ou da adoção. A redação original da questão está incorreta ao mencionar 90 dias.
Contudo, a Lei nº 14.365/2022 alterou o prazo de 120 (cento e vinte) dias para 180 (cento e oitenta) dias.

Analisando as alternativas e considerando as alterações legislativas, percebemos que a alternativa que mais se aproxima da redação correta é a letra C, ainda que com imprecisões. A assertiva D, apesar de mencionar a preferência na ordem das sustentações orais, que é um direito, traz um prazo incorreto.

Resposta: C
",35,253,64.29535365104675,False
4,5,"Lucas, estagiário de Direito, descobre que Patrícia, advogada que
o supervisiona, teve sua inscrição na OAB cancelada. Na intenção
de auxiliar Patrícia a restabelecer o exercício da advocacia, Lucas
passa a estudar a legislação que disciplina o tema.
Sobre o cancelamento da inscrição, Lucas concluiu, corretamente,
que
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,C,C,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Lucas, estagiário de Direito, descobre que Patrícia, advogada que
o supervisiona, teve sua inscrição na OAB cancelada. Na intenção
de auxiliar Patrícia a restabelecer o exercício da advocacia, Lucas
passa a estudar a legislação que disciplina o tema.
Sobre o cancelamento da inscrição, Lucas concluiu, corretamente,
que

A. A) deve ter motivo justificado, caso seja solicitada pelo
profissional.

B. B) a aplicação de penalidade de exclusão impossibilita um novo
pedido de inscrição.

C. C) deve ser promovido, de ofício, pelo conselho competente,
caso decorra do exercício de atividade incompatível com a
advocacia.

D. D) será restaurado o número cancelado, caso seja feito um novo
pedido de inscrição
","Vamos analisar cada alternativa para determinar a correta:

*   **A) deve ter motivo justificado, caso seja solicitada pelo profissional.** Embora o cancelamento possa ser solicitado pelo profissional, a justificativa não é o único critério. A legislação estabelece outros motivos para o cancelamento a pedido, como mudança para outra profissão.

*   **B) a aplicação de penalidade de exclusão impossibilita um novo pedido de inscrição.** A exclusão é a penalidade mais grave aplicada pela OAB. No entanto, após a reabilitação, é possível solicitar uma nova inscrição.

*   **C) deve ser promovido, de ofício, pelo conselho competente, caso decorra do exercício de atividade incompatível com a advocacia.** A incompatibilidade com a advocacia é um dos motivos para o cancelamento da inscrição, e nesse caso, o conselho deve agir de ofício.

*   **D) será restaurado o número cancelado, caso seja feito um novo pedido de inscrição.** O número de inscrição cancelado não é restaurado em um novo pedido. É gerado um novo número.

Portanto, a alternativa correta é a que afirma que o cancelamento da inscrição deve ser promovido de ofício pelo conselho competente em caso de exercício de atividade incompatível com a advocacia.

Resposta: C",47,192,62.71060729026794,False
5,6,"Teresa Silva, advogada atuante na área criminal, tem como
clientes Luiz, acusado de tráfico ilícito de drogas, e Roberto,
acusado de crimes contra o sistema financeiro nacional.
Após serem proferidas decisões judiciais que determinam o
bloqueio universal dos patrimônios de Luiz e Roberto, Teresa se
indaga a respeito dos meios disponíveis para obter os valores
necessários ao reembolso de gastos com a defesa e ao
recebimento de honorários desses clientes.
Sobre esse assunto, é correto concluir que
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,D,B,False,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Teresa Silva, advogada atuante na área criminal, tem como
clientes Luiz, acusado de tráfico ilícito de drogas, e Roberto,
acusado de crimes contra o sistema financeiro nacional.
Após serem proferidas decisões judiciais que determinam o
bloqueio universal dos patrimônios de Luiz e Roberto, Teresa se
indaga a respeito dos meios disponíveis para obter os valores
necessários ao reembolso de gastos com a defesa e ao
recebimento de honorários desses clientes.
Sobre esse assunto, é correto concluir que

A. A) garantir -se-á a Teresa a liberação de 20% (vinte por cento) dos
bens bloqueados de Luiz para o fim de reembolso de gastos
com a defesa, vedado o recebimento de honorários.

B. B) garantir -se-á a Teresa a liberação de 20% (vinte por cento) dos
bens bloqueados de Roberto para o fim de reembolso de
gastos com a defesa e o recebimento de honorários.

C. C) Teresa poderá optar pela venda de bens de Luiz em hasta
pública para o reembolso de gastos com a defesa.

D. D) Teresa não poderá realizar a adjudicação de bens de Roberto
para a satisfação d os honorários devidos .

","A questão versa sobre a possibilidade de uma advogada, Teresa Silva, receber honorários e reembolso de despesas de seus clientes, Luiz e Roberto, cujos patrimônios foram bloqueados por decisão judicial.

Vamos analisar as alternativas:

*   **A:** A alternativa A afirma que 20% dos bens de Luiz seriam liberados para reembolso de gastos, mas veda o recebimento de honorários. Essa afirmação é imprecisa. Embora a lei permita a liberação de bens para custear a defesa, não há um percentual fixo de 20%. Além disso, a lei não veda o recebimento de honorários, desde que comprovada a origem lícita dos valores.

*   **B:** A alternativa B é similar à alternativa A, mas se refere aos bens de Roberto. Novamente, não há percentual fixo de 20% e não há vedação ao pagamento de honorários.

*   **C:** A alternativa C sugere a venda de bens de Luiz em hasta pública para o reembolso de gastos. Essa alternativa é incorreta. A venda de bens em hasta pública geralmente ocorre em processos de execução, e não é o meio primário para o pagamento de honorários advocatícios em casos como este.

*   **D:** A alternativa D afirma que Teresa não poderia realizar a adjudicação de bens de Roberto para a satisfação dos honorários. A adjudicação é uma forma de expropriação de bens em processos de execução, onde o credor (no caso, a advogada) recebe o bem como forma de pagamento. Embora existam discussões sobre a possibilidade de adjudicação em casos de bens bloqueados por crimes financeiros, a alternativa reflete uma interpretação mais conservadora da lei, que busca evitar que bens provenientes de atividades ilícitas beneficiem terceiros, mesmo que de boa-fé.

Em um cenário de bloqueio de bens por crimes, especialmente crimes financeiros e tráfico, a legislação é rigorosa quanto à destinação dos valores. A prioridade é o ressarcimento do dano causado à sociedade e a apreensão dos bens obtidos ilicitamente. Qualquer liberação de valores para pagamento de honorários ou despesas é cuidadosamente analisada, exigindo prova da origem lícita dos recursos.

Com base nesse raciocínio, a alternativa mais correta é a D.

Resposta: D",77,346,65.11723971366882,False
6,7,"O advogado Alex encontra -se licenciado junto à OAB. Assinale a
opção que, corretamente, apresenta uma causa para o
licenciamento de Alex.
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,A,D,False,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
O advogado Alex encontra -se licenciado junto à OAB. Assinale a
opção que, corretamente, apresenta uma causa para o
licenciamento de Alex.

A. A) O requerimento de licenciamento, independentemente de
motivação, formulado por Alex.

B. B) O fato de Alex passar a sofrer de doença física incurável.

C. C) O exercício por Alex, de forma definitiva, de atividade
incompatível com a advocacia.

D. D) O fato de Alex passar a sofrer de doença mental curável.

","Vamos analisar cada alternativa à luz do Estatuto da Advocacia e da OAB (Lei nº 8.906/94) para identificar a causa correta para o licenciamento:

*   **A. A) O requerimento de licenciamento, independentemente de motivação, formulado por Alex.** Esta alternativa está correta. O advogado pode solicitar o licenciamento da OAB a qualquer momento, sem necessidade de apresentar uma justificativa específica. É um direito do profissional.

*   **B. B) O fato de Alex passar a sofrer de doença física incurável.** Doença física, mesmo que incurável, não é causa para o licenciamento obrigatório. Pode ser um fator que leve o advogado a solicitar o licenciamento, mas não é uma imposição legal.

*   **C. C) O exercício por Alex, de forma definitiva, de atividade incompatível com a advocacia.** Esta alternativa descreve uma situação que leva à *incompatibilidade* com a advocacia, e não ao licenciamento. A incompatibilidade impede o exercício da profissão, enquanto o licenciamento é uma suspensão voluntária ou imposta por certas situações específicas.

*   **D. D) O fato de Alex passar a sofrer de doença mental curável.** Doença mental curável não é causa para o licenciamento compulsório. Assim como na alternativa B, pode ser um motivo para o advogado solicitar o licenciamento, mas não é uma exigência legal.

**Raciocínio:**

A única alternativa que descreve uma causa válida para o licenciamento, conforme o Estatuto da Advocacia e da OAB, é o requerimento do próprio advogado. As demais alternativas apresentam situações que não necessariamente levam ao licenciamento compulsório. A incompatibilidade, por outro lado, impede o exercício da advocacia.

Resposta: A",22,255,63.9168221950531,False
7,8,"Marcelo, advogado, é acusado de usar atestado médico falso para
libertar seu cliente da prisão. O fato alcança grande repercussão,
a ponto de um jornal local publicar matéria em que afirma que
Marcelo deve ser suspenso preventivamente pela OAB, até que s e
conclua a apuração disciplinar da conduta.
Sobre esse tema, assinale a afirmativa correta.
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,B,B,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Marcelo, advogado, é acusado de usar atestado médico falso para
libertar seu cliente da prisão. O fato alcança grande repercussão,
a ponto de um jornal local publicar matéria em que afirma que
Marcelo deve ser suspenso preventivamente pela OAB, até que s e
conclua a apuração disciplinar da conduta.
Sobre esse tema, assinale a afirmativa correta.

A. A) Cabe ao Tribunal de Ética e Disciplina do Conselho Seccional
perante o qual a infração tenha ocorrido, suspendê -lo
preventivamente.

B. B) A suspensão preventiva pressupõe a demonstração de que o
fato tenha gerado repercussão prejudicial à dignidade da
advocacia.

C. C) Antes de aplicada a suspensão preventiva, o acusado deve ser
ouvido em sessão especial, salvo se não for possível notificá -lo
para comparecer.

D. D) Caso aplicada a suspensão preventiva, o processo disciplinar
deve ser concluído no prazo máximo de sessenta dias.

","Vamos analisar cada alternativa à luz do Estatuto da Advocacia e da OAB (Lei 8.906/94) e do Regulamento Geral da OAB.

*   **A. A) Cabe ao Tribunal de Ética e Disciplina do Conselho Seccional perante o qual a infração tenha ocorrido, suspendê-lo preventivamente.** Essa alternativa está parcialmente correta, pois é o Tribunal de Ética e Disciplina (TED) que decide sobre a suspensão preventiva, mas a decisão não é discricionária.

*   **B. B) A suspensão preventiva pressupõe a demonstração de que o fato tenha gerado repercussão prejudicial à dignidade da advocacia.** Esta alternativa está correta. De acordo com o artigo 70, § 3º, do Estatuto da Advocacia e da OAB, a suspensão preventiva pode ser decretada, justificadamente, pelo Tribunal de Ética e Disciplina, em caso de repercussão prejudicial à dignidade da advocacia, após manifestação favorável de dois terços de seus membros.

*   **C. C) Antes de aplicada a suspensão preventiva, o acusado deve ser ouvido em sessão especial, salvo se não for possível notificá-lo para comparecer.** Essa alternativa está incorreta. O Estatuto da Advocacia e o Regulamento Geral não exigem a oitiva do acusado antes da suspensão preventiva, embora seja recomendável o contraditório sempre que possível.

*   **D. D) Caso aplicada a suspensão preventiva, o processo disciplinar deve ser concluído no prazo máximo de sessenta dias.** Essa alternativa está incorreta. O Estatuto da Advocacia não estabelece prazo máximo para conclusão do processo disciplinar após a suspensão preventiva.

**Raciocínio:**

A alternativa B é a que melhor se alinha com os requisitos legais para a suspensão preventiva. A suspensão preventiva não é automática, dependendo da demonstração de repercussão prejudicial à dignidade da advocacia e da aprovação por uma maioria qualificada do Tribunal de Ética e Disciplina.

Resposta: B
",56,285,64.12942290306091,False
8,9,"“Mas a disciplina traz consigo uma maneira
específica de punir, e que é apenas um modelo
reduzido do tribunal. O que pertence à penalidade
disciplinar é a inobservância, tudo o que está
inadequado à regra, tudo que se afasta dela, os
desvios .”
Michael Fouca ult
Foucault, em seu livro Vigiar e Punir , fala do poder disciplinar que
recai sobre os corpos dos indivíduos e, também, dos castigos
disciplinares que resultam de uma lei, um programa ou um
regulamento.
Assinale a opção que, segundo o autor da obra de ref erência,
apresenta a função do castigo disciplinar.
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,A,A,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
“Mas a disciplina traz consigo uma maneira
específica de punir, e que é apenas um modelo
reduzido do tribunal. O que pertence à penalidade
disciplinar é a inobservância, tudo o que está
inadequado à regra, tudo que se afasta dela, os
desvios .”
Michael Fouca ult
Foucault, em seu livro Vigiar e Punir , fala do poder disciplinar que
recai sobre os corpos dos indivíduos e, também, dos castigos
disciplinares que resultam de uma lei, um programa ou um
regulamento.
Assinale a opção que, segundo o autor da obra de ref erência,
apresenta a função do castigo disciplinar.

A. A) Reduzir os desvios, funcionando, portanto, como algo
essencialmente corretivo.

B. B) Coibir a ocorrência de crime, de modo a evitar a ocorrência de
atos ilícitos.

C. C) Expiar a culpa de ter se afastado d a norma, de forma a produzir
arrependimento.

D. D) Indenizar a vítima da conduta indisciplinada, como forma de
reparação de um dano.

","O trecho de Foucault apresentado no enunciado e o contexto da obra ""Vigiar e Punir"" indicam que a disciplina e o castigo disciplinar visam, principalmente, a correção e a normatização do comportamento. O objetivo não é necessariamente evitar crimes (como na justiça criminal tradicional), expiar a culpa (como em sistemas religiosos) ou indenizar vítimas, mas sim moldar o indivíduo de acordo com as normas estabelecidas. A frase ""tudo o que está inadequado à regra, tudo que se afasta dela, os desvios"" reforça a ideia de que o foco é eliminar o que se desvia do padrão esperado. Portanto, a alternativa que melhor reflete essa função corretiva é a alternativa A.

Resposta: A
",98,112,61.95696878433228,False
9,10,"Há muitos tipos diferentes de relação entre o
direito e a moral e a relação entre eles não pode
ser isolada com proveito para efeitos de estudo. Em
vez disso, é importante distinguir algumas das
muitas coisas diferentes que podem querer dizer -se
através da afirmação ou negação de que o direito
e a moral estão relacionados .
Herbert Hart
Herbert Hart, em s eu livro O Conceito de Direito , comenta sobre a
influência da moral sobre o Direito, afirmando que nenhum
positivista poderá negar que a estabilidade dos sistemas jurídicos
depende, em parte, da correspondência com a moral.
Assinale a opção que, segundo o autor no livro em referência,
mostra como essa influência da moral sobre o direito pode
ocorrer.
",google/gemini-2.0-flash-exp,google,gemini-2.0-flash-exp,A,A,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Há muitos tipos diferentes de relação entre o
direito e a moral e a relação entre eles não pode
ser isolada com proveito para efeitos de estudo. Em
vez disso, é importante distinguir algumas das
muitas coisas diferentes que podem querer dizer -se
através da afirmação ou negação de que o direito
e a moral estão relacionados .
Herbert Hart
Herbert Hart, em s eu livro O Conceito de Direito , comenta sobre a
influência da moral sobre o Direito, afirmando que nenhum
positivista poderá negar que a estabilidade dos sistemas jurídicos
depende, em parte, da correspondência com a moral.
Assinale a opção que, segundo o autor no livro em referência,
mostra como essa influência da moral sobre o direito pode
ocorrer.

A. A) Pode se dar por meio da legislação ou por intermédio do
processo judicial. Pode ocorrer que, em alguns sistemas, os
critérios últimos de validade incorpore m explicitamente
princípios de justiça ou valores morais substantivos.

B. B) Por intermédio da religião, sobretudo naqueles estados que,
mesmo tendo a forma laica, admitem a influência das
autoridades religiosas sobre o funcionamento das instituições.

C. C) Ocorre por meio do pensamento científico. O
desenvolvimento da ciência aponta possibilidades que exigem
uma base moral que normatize os padrões de conduta em
relação ao que seria aceitável ou não naquela sociedade.

D. D) A influência da moral sobre o direito a contece por força da
própria natureza das coisas. São padrões de certo e errado que
surgem naturalmente e em um determinado momento
histórico são incorporados ao direito positivo de forma
espontânea e automática.

","O trecho de Herbert Hart em ""O Conceito de Direito"" aborda a relação entre direito e moral, argumentando que a estabilidade dos sistemas jurídicos depende, em parte, da sua correspondência com a moral. Ele também aponta que os critérios de validade do direito podem incorporar princípios de justiça ou valores morais.

Analisando as opções:

*   **A) Correta.** Esta opção reflete a argumentação de Hart. A moral pode influenciar o direito através da legislação e do processo judicial, e os critérios de validade do direito podem incorporar princípios morais.
*   **B) Incorreta.** A religião não é o foco principal da argumentação de Hart sobre a relação entre direito e moral, embora a religião possa influenciar a moral.
*   **C) Incorreta.** Embora o pensamento científico possa influenciar a moral e, indiretamente, o direito, esta não é a via principal que Hart destaca.
*   **D) Incorreta.** Hart não sugere que a incorporação da moral ao direito seja um processo espontâneo e automático decorrente da ""natureza das coisas"". Ele enfatiza a possibilidade de incorporação através da legislação e do processo judicial.

Resposta: A",122,179,62.78245568275452,False
