Unnamed: 0,question_number,question_body,full_model_name,model_family,model_name,llm_chosen_answer,correct_answer,is_correct,question_prompt,response,token_size_question,token_size_response,elapsed_time_sec,Anulada?
0,1,"Uma sociedade de advogados decidiu patrocinar a realização de
um evento, sob o formato de um congresso, em certo hotel de
lazer do tipo “resort”, que conta com área de conferências, com o
explícito fim de publicidade de suas atividades profissionais.
Considerando a forma de publicidade escolhida , assinale a
afirmativa c orreta.
",google/gemini-1.5-pro,google,gemini-1.5-pro,D,C,False,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Uma sociedade de advogados decidiu patrocinar a realização de
um evento, sob o formato de um congresso, em certo hotel de
lazer do tipo “resort”, que conta com área de conferências, com o
explícito fim de publicidade de suas atividades profissionais.
Considerando a forma de publicidade escolhida , assinale a
afirmativa c orreta.

A. A) Não é autorizada, independetemente de quem seja o público
convidado para o evento, tendo em vista o local escolhido.
Todavia, se o congresso fosse realizado em local diverso do
hotel selecionado, seria admitido o seu patrocínio como meio
de pub licidade.

B. B) É admitida, desde que os participantes sejam apenas
integrantes da sociedade de advogados, funcionários ou
clientes.

C. C) É autorizada, sendo admitida a participação de clientes da
sociedade de advogados e de interessados do meio jurídico.

D. D) não é autorizada, independetemente de quem seja o público
convidado para o evento, ou do local onde realizado.

","O Código de Ética e Disciplina da OAB (artigo 40, inciso IV) proíbe a publicidade que se revista de caráter de mercantilização. Patrocinar um congresso em um resort, com o explícito fim de publicidade, caracteriza a mercantilização da profissão, configurando infração ética. Isso independe do público, pois a própria natureza do evento e local escolhido já conferem o caráter vedado.

Resposta: D
",53,62,62.616416215896606,False
1,2,"A medida cautelar de busca e apreensão a ser cumprida no
escritório do advogado José foi regularmente deferida, por Juízo
competente. Considerou o magistrado que havia nos autos
indícios de autoria e materialidade da prática de crime por José,
juntamente com um cliente seu, de nome Oswaldo.
Quanto à situação hipotética narrada, assinale a afirmativa
correta.
",google/gemini-1.5-pro,google,gemini-1.5-pro,D,D,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
A medida cautelar de busca e apreensão a ser cumprida no
escritório do advogado José foi regularmente deferida, por Juízo
competente. Considerou o magistrado que havia nos autos
indícios de autoria e materialidade da prática de crime por José,
juntamente com um cliente seu, de nome Oswaldo.
Quanto à situação hipotética narrada, assinale a afirmativa
correta.

A. A) É dever do rep resentante da OAB presente ao ato, durante o
cumprimento do mandado de busca e apreensão, impedir que
documentos referentes a outros processos em face de
Oswaldo, não relacionados ao objeto da investigação que
ensejou a cautelar, sejam retirados do escritó rio, exceto se o
volume ou natureza dos objetos impedirem o resguardo do
sigilo através da cadeia de custódia.

B. B) A análise dos documentos apreendidos deve ser feita
mediante comunicação prévia ao Conselho Federal da OAB,
com antecedência mínima e impreter ível de 48 horas.

C. C) Caso seja essencial à sua defesa no processo criminal, é
admitido que José efetue colaboração premiada em face de
Oswaldo, desde que haja confirmação das imputações por
outros meios de prova.

D. D) É direito de José estar presente na ocas ião designada para
análise do conteúdo dos documentos apreendidos, quando do
cumprimento do mandado de busca e apreensão
","A alternativa A está incorreta. O representante da OAB deve zelar para que sejam apreendidos apenas os documentos relacionados à investigação, preservando o sigilo profissional de outros clientes e processos não relacionados ao objeto da busca. A exceção sobre volume ou natureza dos objetos não existe na legislação.

A alternativa B está incorreta. Não há previsão legal para comunicação prévia à OAB com antecedência de 48 horas para análise dos documentos apreendidos.

A alternativa C está incorreta. A colaboração premiada pressupõe a confissão de uma infração penal cometida pelo próprio colaborador. No caso, José estaria delatando supostamente um crime de Oswaldo, o que não se configura colaboração premiada.

A alternativa D está correta. O Estatuto da Advocacia e o Código de Processo Penal asseguram ao advogado o direito de acompanhar a busca e apreensão em seu escritório, inclusive no momento da análise dos documentos apreendidos, para garantir que sejam respeitados os limites do mandado e o sigilo profissional.

Resposta: D
",56,160,65.1064076423645,False
2,3,"O advogado Luís Santos, regularmente inscrito na OAB, está em
início de carreira. Luís presta serviços jurídicos  a determinada
instituição social sem fins econômicos, consistentes em patrocinar
seus interesses em demanda judicial em curso.
Sobre a atuação de Luís, assinale a afirmativa correta.
",google/gemini-1.5-pro,google,gemini-1.5-pro,B,B,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
O advogado Luís Santos, regularmente inscrito na OAB, está em
início de carreira. Luís presta serviços jurídicos  a determinada
instituição social sem fins econômicos, consistentes em patrocinar
seus interesses em demanda judicial em curso.
Sobre a atuação de Luís, assinale a afirmativa correta.

A. A) Não poderá ser considerada advocacia pro bono a atuação
gratuita de  Luís como advogado das pessoas naturais,
hipossuficientes econômicas, beneficiárias da instituição
social.

B. B) É ilícito que Luís preste gratuitamente tais serviços jurídicos, se
o objetivo é valer -se de sua atuação como instrumento de
publicidade da sua a tividade profissional.

C. C) A atuação gratuita de Luís, ainda que não seja eventual, na
defesa em Juízo da mencionada instituição social, pode ser
considerada advocacia pro bono.

D. D) É admitida  a prestação por Luís , sob a forma de advocacia pro
bono  voluntária, de serviços jurídicos para uma instituição
social cobrando preços simbólicos, haja vista a ausência de fins
econômicos.

","A questão trata da definição de advocacia pro bono. Vamos analisar cada alternativa:

**A) Incorreta.** A advocacia *pro bono* pode ser exercida em favor de pessoas naturais hipossuficientes, mesmo que representadas por uma instituição. O Estatuto da Advocacia não impõe essa restrição.  A alternativa afirma que *não poderá ser considerada* advocacia *pro bono*, o que é falso.

**B) Correta.** O artigo 30 do Código de Ética e Disciplina da OAB proíbe expressamente o uso da advocacia *pro bono* para fins de autopromoção ou captação de clientela.  Se o objetivo principal de Luís é se promover, sua atuação gratuita não se configura como *pro bono*.

**C) Incorreta.** O artigo 30 do Código de Ética e Disciplina da OAB  estabelece que a advocacia *pro bono* deve ser *eventual*, ou seja, não pode ser a principal atividade do advogado.  A alternativa afirma que a atuação *não eventual* pode ser considerada *pro bono*, contrariando o dispositivo legal.

**D) Incorreta.** A advocacia *pro bono* é, por definição, gratuita.  Cobrar ""preços simbólicos"" descaracteriza a gratuidade e, portanto, não se enquadra no conceito de *pro bono*.

Resposta: B
",43,181,66.56277227401733,False
3,4,"Maria, advogada regularmente inscrita na OAB, encontra -se
gestante. Em razão de sua condição, Maria tem direitos específicos
previstos no Estatuto da Advocacia e da OAB.
Assinale a opção que apresenta, corretamente um desses direitos.
",google/gemini-1.5-pro,google,gemini-1.5-pro,D,A,False,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Maria, advogada regularmente inscrita na OAB, encontra -se
gestante. Em razão de sua condição, Maria tem direitos específicos
previstos no Estatuto da Advocacia e da OAB.
Assinale a opção que apresenta, corretamente um desses direitos.

A. A) Durante a gravidez, ela terá direito a uma vaga garantida nas
garagens dos fóruns de todos os tribunais.

B. B) Durante  a gravidez ela terá preferência na realização das
audiências a serem realizadas no dia, independentemente de
comprovação de sua condição.

C. C) Após dar à luz, ela terá direito à suspensão dos prazos
processuais por 60 (sessenta) dias, contados a partir da data
do parto, se for a única patrona da causa.

D. D) Após dar à luz, ela terá preferência na ordem das sustentações
orais, mediante comprovação de sua condição, pelo período
de 90 (noventa) dias, contados a partir da data do parto.

","A alternativa A está incorreta. O Estatuto da Advocacia garante à advogada gestante, lactante, adotante ou que der à luz, reserva de vaga em garagens dos fóruns dos tribunais, não sendo em todos os tribunais. (Art. 7º-A, inciso I).

A alternativa B está incorreta. A advogada gestante tem preferência na ordem das sustentações orais e na ordem das audiências a serem realizadas a cada dia, mediante apresentação de comprovação médica, e não independentemente de comprovação. (Art. 7º-A, inciso II).

A alternativa C está incorreta. A advogada que der à luz tem direito à suspensão dos prazos processuais por 30 (trinta) dias, e não sessenta dias, contados da data do parto, se for a única patrona da causa. (Art. 7º-A, inciso IV).

A alternativa D está correta. A advogada que der à luz tem preferência na ordem das sustentações orais, mediante comprovação de sua condição, pelo período de 90 (noventa) dias, contados da data do parto. (Art. 7º-A, inciso III).

Resposta: D
",35,161,65.96009135246277,False
4,5,"Lucas, estagiário de Direito, descobre que Patrícia, advogada que
o supervisiona, teve sua inscrição na OAB cancelada. Na intenção
de auxiliar Patrícia a restabelecer o exercício da advocacia, Lucas
passa a estudar a legislação que disciplina o tema.
Sobre o cancelamento da inscrição, Lucas concluiu, corretamente,
que
",google/gemini-1.5-pro,google,gemini-1.5-pro,C,C,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Lucas, estagiário de Direito, descobre que Patrícia, advogada que
o supervisiona, teve sua inscrição na OAB cancelada. Na intenção
de auxiliar Patrícia a restabelecer o exercício da advocacia, Lucas
passa a estudar a legislação que disciplina o tema.
Sobre o cancelamento da inscrição, Lucas concluiu, corretamente,
que

A. A) deve ter motivo justificado, caso seja solicitada pelo
profissional.

B. B) a aplicação de penalidade de exclusão impossibilita um novo
pedido de inscrição.

C. C) deve ser promovido, de ofício, pelo conselho competente,
caso decorra do exercício de atividade incompatível com a
advocacia.

D. D) será restaurado o número cancelado, caso seja feito um novo
pedido de inscrição
","A questão trata das hipóteses de cancelamento da inscrição na OAB, conforme previsto no Estatuto da Advocacia (Lei 8.906/94). Vamos analisar cada alternativa:

A) **Incorreta.** O cancelamento da inscrição pode ser solicitado pelo próprio advogado, a qualquer tempo, sem necessidade de justificativa (art. 11, §1º, da Lei 8.906/94).  A alternativa afirma que deve haver motivo justificado, o que não é verdade.

B) **Incorreta.** A penalidade de exclusão, que é diferente do cancelamento, impede o reingresso na OAB por dois anos, após os quais um novo pedido de inscrição pode ser feito (art. 38, parágrafo único, da Lei 8.906/94). A alternativa afirma que a exclusão impossibilita um novo pedido, o que é falso.

C) **Correta.** O cancelamento da inscrição deve ser promovido, de ofício, pelo Conselho Seccional competente, quando decorrer do exercício de atividade incompatível com a advocacia (art. 11, §2º, da Lei 8.906/94).  É exatamente o que a alternativa descreve.

D) **Incorreta.**  Em caso de novo pedido de inscrição, um novo número será atribuído ao advogado. O número cancelado não é restaurado (art. 10, § 2º, da Lei 8.906/94).

Resposta: C
",47,181,67.07792043685913,False
5,6,"Teresa Silva, advogada atuante na área criminal, tem como
clientes Luiz, acusado de tráfico ilícito de drogas, e Roberto,
acusado de crimes contra o sistema financeiro nacional.
Após serem proferidas decisões judiciais que determinam o
bloqueio universal dos patrimônios de Luiz e Roberto, Teresa se
indaga a respeito dos meios disponíveis para obter os valores
necessários ao reembolso de gastos com a defesa e ao
recebimento de honorários desses clientes.
Sobre esse assunto, é correto concluir que
",google/gemini-1.5-pro,google,gemini-1.5-pro,B,B,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Teresa Silva, advogada atuante na área criminal, tem como
clientes Luiz, acusado de tráfico ilícito de drogas, e Roberto,
acusado de crimes contra o sistema financeiro nacional.
Após serem proferidas decisões judiciais que determinam o
bloqueio universal dos patrimônios de Luiz e Roberto, Teresa se
indaga a respeito dos meios disponíveis para obter os valores
necessários ao reembolso de gastos com a defesa e ao
recebimento de honorários desses clientes.
Sobre esse assunto, é correto concluir que

A. A) garantir -se-á a Teresa a liberação de 20% (vinte por cento) dos
bens bloqueados de Luiz para o fim de reembolso de gastos
com a defesa, vedado o recebimento de honorários.

B. B) garantir -se-á a Teresa a liberação de 20% (vinte por cento) dos
bens bloqueados de Roberto para o fim de reembolso de
gastos com a defesa e o recebimento de honorários.

C. C) Teresa poderá optar pela venda de bens de Luiz em hasta
pública para o reembolso de gastos com a defesa.

D. D) Teresa não poderá realizar a adjudicação de bens de Roberto
para a satisfação d os honorários devidos .

","A alternativa A está incorreta. A Lei nº 13.964/19 (Pacote Anticrime) alterou a Lei nº 11.343/06 (Lei de Drogas) e passou a permitir o pagamento de honorários advocatícios com valores provenientes do tráfico, desde que comprovada a origem lícita dos recursos. Além disso, o percentual de 20% para liberação de bens bloqueados não está previsto na legislação.

A alternativa B está correta. A Lei nº 9.613/98 (Lavagem de Dinheiro) prevê, em seu art. 4º, § 9º, a possibilidade de liberação de até 20% dos bens bloqueados para o pagamento de honorários advocatícios e ressarcimento de despesas com a defesa, desde que estes não sejam incompatíveis com a renda declarada do acusado ou com a situação patrimonial dos seus familiares.

A alternativa C está incorreta. A venda de bens em hasta pública só ocorre após o trânsito em julgado da sentença condenatória, para fins de reparação do dano causado pelo crime ou para pagamento de multas. Não se trata de um mecanismo para o pagamento de honorários advocatícios ou reembolso de despesas com a defesa durante o processo.

A alternativa D está incorreta. O art. 4º, § 9º, da Lei nº 9.613/98, permite expressamente a adjudicação de bens para o pagamento de honorários.

Resposta: B
",77,204,67.11449193954468,False
6,7,"O advogado Alex encontra -se licenciado junto à OAB. Assinale a
opção que, corretamente, apresenta uma causa para o
licenciamento de Alex.
",google/gemini-1.5-pro,google,gemini-1.5-pro,A,D,False,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
O advogado Alex encontra -se licenciado junto à OAB. Assinale a
opção que, corretamente, apresenta uma causa para o
licenciamento de Alex.

A. A) O requerimento de licenciamento, independentemente de
motivação, formulado por Alex.

B. B) O fato de Alex passar a sofrer de doença física incurável.

C. C) O exercício por Alex, de forma definitiva, de atividade
incompatível com a advocacia.

D. D) O fato de Alex passar a sofrer de doença mental curável.

","A alternativa A está correta, pois o advogado pode requerer o licenciamento a qualquer momento, independentemente de motivação, conforme prevê o Estatuto da Advocacia e da OAB (Lei 8.906/94). As demais alternativas apresentam informações incorretas. Doença física incurável gera cancelamento da inscrição, não licenciamento. Doença mental curável ou incurável também gera cancelamento e não licenciamento. O exercício definitivo de atividade incompatível também gera cancelamento.  A única hipótese de licenciamento é o requerimento, independente de motivação.

Resposta: A
",22,77,63.12552213668823,False
7,8,"Marcelo, advogado, é acusado de usar atestado médico falso para
libertar seu cliente da prisão. O fato alcança grande repercussão,
a ponto de um jornal local publicar matéria em que afirma que
Marcelo deve ser suspenso preventivamente pela OAB, até que s e
conclua a apuração disciplinar da conduta.
Sobre esse tema, assinale a afirmativa correta.
",google/gemini-1.5-pro,google,gemini-1.5-pro,B,B,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Marcelo, advogado, é acusado de usar atestado médico falso para
libertar seu cliente da prisão. O fato alcança grande repercussão,
a ponto de um jornal local publicar matéria em que afirma que
Marcelo deve ser suspenso preventivamente pela OAB, até que s e
conclua a apuração disciplinar da conduta.
Sobre esse tema, assinale a afirmativa correta.

A. A) Cabe ao Tribunal de Ética e Disciplina do Conselho Seccional
perante o qual a infração tenha ocorrido, suspendê -lo
preventivamente.

B. B) A suspensão preventiva pressupõe a demonstração de que o
fato tenha gerado repercussão prejudicial à dignidade da
advocacia.

C. C) Antes de aplicada a suspensão preventiva, o acusado deve ser
ouvido em sessão especial, salvo se não for possível notificá -lo
para comparecer.

D. D) Caso aplicada a suspensão preventiva, o processo disciplinar
deve ser concluído no prazo máximo de sessenta dias.

","A questão trata da suspensão preventiva de advogado. Vamos analisar as alternativas:

**A. A) Cabe ao Tribunal de Ética e Disciplina do Conselho Seccional perante o qual a infração tenha ocorrido, suspendê -lo preventivamente.**

Esta alternativa está incorreta.  Quem aplica a suspensão preventiva é o Conselho Seccional, e não o Tribunal de Ética e Disciplina. O TED julga o mérito da acusação.  O Conselho Seccional, por sua vez, pode suspender preventivamente, após parecer favorável do TED. (Art. 70, §3º, do Estatuto da Advocacia).

**B. B) A suspensão preventiva pressupõe a demonstração de que o fato tenha gerado repercussão prejudicial à dignidade da advocacia.**

Esta alternativa está correta.  A suspensão preventiva é medida excepcional e só cabe em casos de repercussão prejudicial à dignidade da advocacia, como é o caso descrito no enunciado (Art. 70, §3º, do Estatuto da Advocacia). A simples acusação não é suficiente.

**C. C) Antes de aplicada a suspensão preventiva, o acusado deve ser ouvido em sessão especial, salvo se não for possível notificá -lo para comparecer.**

Esta alternativa está incorreta. O Estatuto da Advocacia (Lei 8.906/94) não prevê a necessidade de uma sessão especial para ouvir o advogado antes da suspensão preventiva.

**D. D) Caso aplicada a suspensão preventiva, o processo disciplinar deve ser concluído no prazo máximo de sessenta dias.**

Esta alternativa está incorreta.  O Estatuto da Advocacia prevê o prazo de 90 dias, prorrogáveis por igual período, para a conclusão do processo disciplinar após a instauração (Art. 72, § 4º). A suspensão preventiva não altera esse prazo.

Resposta: B
",56,255,68.54195594787598,False
8,9,"“Mas a disciplina traz consigo uma maneira
específica de punir, e que é apenas um modelo
reduzido do tribunal. O que pertence à penalidade
disciplinar é a inobservância, tudo o que está
inadequado à regra, tudo que se afasta dela, os
desvios .”
Michael Fouca ult
Foucault, em seu livro Vigiar e Punir , fala do poder disciplinar que
recai sobre os corpos dos indivíduos e, também, dos castigos
disciplinares que resultam de uma lei, um programa ou um
regulamento.
Assinale a opção que, segundo o autor da obra de ref erência,
apresenta a função do castigo disciplinar.
",google/gemini-1.5-pro,google,gemini-1.5-pro,A,A,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
“Mas a disciplina traz consigo uma maneira
específica de punir, e que é apenas um modelo
reduzido do tribunal. O que pertence à penalidade
disciplinar é a inobservância, tudo o que está
inadequado à regra, tudo que se afasta dela, os
desvios .”
Michael Fouca ult
Foucault, em seu livro Vigiar e Punir , fala do poder disciplinar que
recai sobre os corpos dos indivíduos e, também, dos castigos
disciplinares que resultam de uma lei, um programa ou um
regulamento.
Assinale a opção que, segundo o autor da obra de ref erência,
apresenta a função do castigo disciplinar.

A. A) Reduzir os desvios, funcionando, portanto, como algo
essencialmente corretivo.

B. B) Coibir a ocorrência de crime, de modo a evitar a ocorrência de
atos ilícitos.

C. C) Expiar a culpa de ter se afastado d a norma, de forma a produzir
arrependimento.

D. D) Indenizar a vítima da conduta indisciplinada, como forma de
reparação de um dano.

","Foucault, em Vigiar e Punir, descreve o poder disciplinar como uma forma de controle que visa normalizar os indivíduos, moldando seus comportamentos para se adequarem a um padrão. O castigo disciplinar, nesse contexto, não tem como objetivo a vingança, a expiação ou a indenização, mas sim a correção do desvio.  A punição serve para reintegrar o indivíduo à norma, ajustando seu comportamento ao esperado.  O trecho citado destaca justamente isso: a punição disciplinar foca na ""inobservância"", no ""inadequado à regra"", nos ""desvios"". O objetivo é corrigir esses desvios para garantir a conformidade.

Resposta: A
",98,94,63.46713137626648,False
9,10,"Há muitos tipos diferentes de relação entre o
direito e a moral e a relação entre eles não pode
ser isolada com proveito para efeitos de estudo. Em
vez disso, é importante distinguir algumas das
muitas coisas diferentes que podem querer dizer -se
através da afirmação ou negação de que o direito
e a moral estão relacionados .
Herbert Hart
Herbert Hart, em s eu livro O Conceito de Direito , comenta sobre a
influência da moral sobre o Direito, afirmando que nenhum
positivista poderá negar que a estabilidade dos sistemas jurídicos
depende, em parte, da correspondência com a moral.
Assinale a opção que, segundo o autor no livro em referência,
mostra como essa influência da moral sobre o direito pode
ocorrer.
",google/gemini-1.5-pro,google,gemini-1.5-pro,A,A,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Há muitos tipos diferentes de relação entre o
direito e a moral e a relação entre eles não pode
ser isolada com proveito para efeitos de estudo. Em
vez disso, é importante distinguir algumas das
muitas coisas diferentes que podem querer dizer -se
através da afirmação ou negação de que o direito
e a moral estão relacionados .
Herbert Hart
Herbert Hart, em s eu livro O Conceito de Direito , comenta sobre a
influência da moral sobre o Direito, afirmando que nenhum
positivista poderá negar que a estabilidade dos sistemas jurídicos
depende, em parte, da correspondência com a moral.
Assinale a opção que, segundo o autor no livro em referência,
mostra como essa influência da moral sobre o direito pode
ocorrer.

A. A) Pode se dar por meio da legislação ou por intermédio do
processo judicial. Pode ocorrer que, em alguns sistemas, os
critérios últimos de validade incorpore m explicitamente
princípios de justiça ou valores morais substantivos.

B. B) Por intermédio da religião, sobretudo naqueles estados que,
mesmo tendo a forma laica, admitem a influência das
autoridades religiosas sobre o funcionamento das instituições.

C. C) Ocorre por meio do pensamento científico. O
desenvolvimento da ciência aponta possibilidades que exigem
uma base moral que normatize os padrões de conduta em
relação ao que seria aceitável ou não naquela sociedade.

D. D) A influência da moral sobre o direito a contece por força da
própria natureza das coisas. São padrões de certo e errado que
surgem naturalmente e em um determinado momento
histórico são incorporados ao direito positivo de forma
espontânea e automática.

","Herbert Hart, como positivista, defende a separação entre direito e moral, mas reconhece que a moral influencia o direito. A alternativa A descreve corretamente os caminhos pelos quais essa influência ocorre, segundo a perspectiva de Hart: através da legislação (onde princípios morais podem ser incorporados às leis) e do processo judicial (onde juízes podem usar princípios morais na interpretação e aplicação das leis, especialmente em casos complexos ou com lacunas legais).  As demais alternativas não refletem o pensamento de Hart. B introduz a religião, que não é um elemento essencial da teoria de Hart. C atribui a influência à ciência, que, embora possa levantar questões éticas, não é o foco da relação entre direito e moral para Hart.  D sugere uma incorporação ""natural"" e ""automática"" da moral ao direito, o que contraria a ideia de que a moral influencia o direito através de escolhas humanas conscientes, seja na legislação ou na interpretação judicial.

Resposta: A
",122,155,64.81177854537964,False
