Unnamed: 0,question_number,question_body,full_model_name,model_family,model_name,llm_chosen_answer,correct_answer,is_correct,question_prompt,response,token_size_question,token_size_response,elapsed_time_sec,Anulada?
0,1,"Determinada sociedade de advo gados deseja se associar a
advogados que não a integram para prestação de serviços e
participação nos resultados.
Segundo a legislação aplicável à formalização desse vínculo
jurídico, assinale a opção que indica, corretamente, a conclusão
dos administradores da sociedade de advogados.
",google/gemini-1.5-pro,google,gemini-1.5-pro,A,B,False,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Determinada sociedade de advo gados deseja se associar a
advogados que não a integram para prestação de serviços e
participação nos resultados.
Segundo a legislação aplicável à formalização desse vínculo
jurídico, assinale a opção que indica, corretamente, a conclusão
dos administradores da sociedade de advogados.

A. A) O contrato de associação não pode ser pactuado em caráter
geral, devendo registringir-se a causas ou trabalhos
específicos, sob pena de se configurarem os requisitos legais
de vínculo empregatício.

B. B) O contrato de associação deverá ser registrado no Conselho
Seccional da OAB em cuja ba se territorial tiver sede a
sociedade de advogados.

C. C) O contrato de associação po derá atribuir a totalidade dos
riscos à sociedade de advoga dos, mas não exclusivamente a
um advogado sócio ou associado.

D. D) O advogado não pode, simultaneamente, celebrar contrato de
associação com mais de uma sociedade de advogados com
sede ou filial na mesma área territorial do respectivo Conselho
Seccional.

","A alternativa A está correta, pois o contrato de associação com advogado não integrante da sociedade, previsto no Estatuto da Advocacia (Lei 8.906/94), não pode ser feito em caráter geral e irrestrito. O art. 39, parágrafo único, determina que esse contrato seja para causas ou trabalhos específicos.  Se for geral, assemelha-se a um vínculo empregatício, o que é vedado nesse tipo de relação.

A alternativa B está incorreta, pois não há previsão legal para registro do contrato de associação no Conselho Seccional da OAB.

A alternativa C está incorreta, pois a legislação permite que a totalidade dos riscos seja atribuída ao advogado associado (art. 39, parágrafo único, Lei 8.906/94).

A alternativa D está incorreta. O advogado pode se associar a diversas sociedades, desde que os contratos sejam específicos para cada causa ou trabalho, conforme o art. 39 do Estatuto. Não há restrição quanto à área territorial.

Resposta: A
",45,148,65.11510038375854,False
1,2,"Sebastião, advogado, celebrou contrato de mandato com o cliente Amir, para representá-lo extrajudicialmente, tendo realizado
diligências em prol da resolução do imbróglio.
Desde a celebração do mandato, passaram-se mais de 20 (vinte)
anos, mas as atividades para as quais Amir contratou Sebastião,
por sua própria natureza, se protraíram no tempo, sendo ainda
necessárias a Amir.
Sobre a hipótese apresentada, assinale a afirmativa correta.
",google/gemini-1.5-pro,google,gemini-1.5-pro,C,C,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Sebastião, advogado, celebrou contrato de mandato com o cliente Amir, para representá-lo extrajudicialmente, tendo realizado
diligências em prol da resolução do imbróglio.
Desde a celebração do mandato, passaram-se mais de 20 (vinte)
anos, mas as atividades para as quais Amir contratou Sebastião,
por sua própria natureza, se protraíram no tempo, sendo ainda
necessárias a Amir.
Sobre a hipótese apresentada, assinale a afirmativa correta.

A. A) O mandato extinguiu-se pelo decurso do tempo, salvo se
previsto prazo diverso no  respectivo instrumento.

B. B) O mandato extinguiu-se pelo decurso do tempo, sendo vedada
a previsão de prazo diverso no respectivo instrumento.

C. C) O mandato não se extinguiu pelo decurso do tempo, salvo se
foi consignado prazo no respectivo instrumento.

D. D) O mandato não se extinguiu pelo decurso do tempo, sendo
vedada a estipulação de praz o no respectivo instrumento
","O mandato, em regra, não tem prazo determinado, podendo perdurar enquanto necessário para o cumprimento de seu objeto. O Código Civil, em seu artigo 682, inciso III, prevê a extinção do mandato pelo decurso de tempo, mas somente se o mandato foi outorgado por prazo determinado.  No caso apresentado, o mandato não foi dado por prazo específico, mas sim para a resolução de um imbróglio, cuja natureza demanda um tempo prolongado.  Portanto, o mandato não se extingue pelo mero decurso do tempo, ainda que superior a 20 anos, pois está vinculado ao objetivo para o qual foi contratado.  A lei não veda a estipulação de prazo para o mandato, mas na sua ausência, o tempo decorrido por si só não o extingue.

Resposta: C
",63,124,64.3950822353363,False
2,3,"Monique, advogada regularmente inscrita nos quadros da OAB, é
investigada em inquérito policial por supostos crimes praticados
por motivo ligado ao exercício da advocacia, tendo sido presa em
flagrante, por crime da mesma espécie, em seu escritório,
enquanto atendia a uma de suas clientes.
Considerando as disposições do Estatuto da Advocacia, é correto
afirmar que
",google/gemini-1.5-pro,google,gemini-1.5-pro,A,A,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Monique, advogada regularmente inscrita nos quadros da OAB, é
investigada em inquérito policial por supostos crimes praticados
por motivo ligado ao exercício da advocacia, tendo sido presa em
flagrante, por crime da mesma espécie, em seu escritório,
enquanto atendia a uma de suas clientes.
Considerando as disposições do Estatuto da Advocacia, é correto
afirmar que

A. A) Monique tem direito à presença de representante da OAB para
lavratura do auto de prisão em flagrante, visto que se trata de
suposto crime por motivo ligado ao  exercício da advocacia, sob
pena de nulidade.

B. B) não há qualquer direito ou prerrogativa conferida pela
legislação no caso em tela, devendo Monique receber
tratamento idêntico ao dado  a outros indivíduos não
advogados, em razão do princípio da igualdade.

C. C) a presença de representante da OAB no momento da lavratura
do auto de prisão em flagrante será devida ainda que não se
trate de motivo ligado ao exercí cio da advocacia, visto que se
cuida de direito conferido ao advogado em todo e qualquer
crime por ele cometido.

D. D) o representante da OAB para acompanhar a lavratura do auto
de prisão em flagrante, pode ser substituído por representanteda Defensoria Pública, visto que ambos podem figurar como
defensores.

","O Estatuto da Advocacia e da OAB (Lei 8.906/94) garante ao advogado preso em flagrante, por motivo ligado ao exercício da profissão, o direito à presença de representante da OAB para lavratura do auto respectivo. A ausência do representante da OAB, nessa hipótese específica, torna nulo o ato. As demais alternativas estão incorretas. A alternativa ""B"" ignora a prerrogativa prevista no Estatuto. A alternativa ""C"" amplia indevidamente o direito à presença da OAB, que só é obrigatória em prisão em flagrante por motivo ligado ao exercício da advocacia. A alternativa ""D"" também está incorreta, pois a prerrogativa é específica para representante da OAB, não podendo ser substituído por defensor público.

Resposta: A
",55,112,64.38760709762573,False
3,4,"Pedro, contador com vasta experiência e sólida carreira, decide
fazer uma segunda graduação, torn ando-se bacharel em Direito.
Depois da aprovação no Exame de Ordem Unificado e da inscrição
nos quadros da Ordem dos Advogados do Brasil, Pedro pretende
continuar prestando serviços contábeis, sem prejuízo do exercício
concomitante da nova atividade.
Acerca da intenção de Pedro, bem como dos limites ético-
normativos para a publicidade profissional da sua nova atividade,
assinale a afirmativa correta.
",google/gemini-1.5-pro,google,gemini-1.5-pro,C,C,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Pedro, contador com vasta experiência e sólida carreira, decide
fazer uma segunda graduação, torn ando-se bacharel em Direito.
Depois da aprovação no Exame de Ordem Unificado e da inscrição
nos quadros da Ordem dos Advogados do Brasil, Pedro pretende
continuar prestando serviços contábeis, sem prejuízo do exercício
concomitante da nova atividade.
Acerca da intenção de Pedro, bem como dos limites ético-
normativos para a publicidade profissional da sua nova atividade,
assinale a afirmativa correta.

A. A) Pedro não poderá exercer de modo concomitante as
atividades de contador e advo gado, pois, de acordo com o
Estatuto da Advocacia e da OAB, a prestação de serviços
contábeis é incompatível com o exercício simultâneo da
advocacia.

B. B) Não há óbice ético para o duplo exercício das atividades de
contador e advogado, podendo Pedro se valer da divulgação
conjunta dos serviços oferecidos, desde que não seja por meio
de inscrições em muros, paredes, veículos, elevadores ou em
qualquer espaço público.

C. C) Embora não haja incompati bilidade para o exercício
concomitante das duas atividades, não será permitido a Pedro
divulgar sua nova profissão de modo conjunto com a de
contador.

D. D) Pedro poderá fazer uso de mala direta, distribuição de
panfletos ou formas assemelhadas de publicidade, visando a
captação de clientela para a sua nova atividade, mas não
poderá mencionar, nessa publicidade, os serviços de
contabilidade.TIPO  BRANCA –PÁGINA 4

","A alternativa A está incorreta. Não há incompatibilidade entre o exercício da advocacia e da contabilidade.

A alternativa B está incorreta.  A divulgação conjunta é permitida, porém a restrição da publicidade em muros, paredes, veículos, elevadores ou qualquer espaço público não se aplica. A publicidade na advocacia é regulamentada pelo Código de Ética e Disciplina da OAB (CED), que veda a publicidade imoderada ou que destoe da sobriedade da profissão, mas não proíbe expressamente esses locais.

A alternativa D está incorreta. Mala direta e panfletos são vedados pelo CED como forma de captação de clientes.

A alternativa C está correta. Não há impedimento para o exercício concomitante das profissões, mas a publicidade da advocacia deve ser discreta e não pode ser feita em conjunto com outras atividades, conforme o CED.  A divulgação conjunta poderia configurar, por exemplo, captação irregular de clientes ou publicidade imoderada, o que é vedado pelo Código de Ética da Advocacia.

Resposta: C
",74,156,65.67897129058838,False
4,5,"Formalizou-se, no Tribunal Regional Eleitoral do Estado Alfa, a
vacância de um dos cargos de juiz eleitoral, reservado
constitucionalmente à classe de advogados. De igual modo, no
Tribunal Regional Federal da Enésima Região, sediado na capital
do mesmo Estado Alfa, com jurisdição nos Estados Alfa, Beta e
Gama , foi também formalizada a vacância de um cargo de juiz
federal do Tribunal Regional Fe deral, destinado à advocacia nos
termos da Constituição Federal (quinto constitucional).
Nesse hipotético cenário, que demandará a produção de duas
listas de membros da advocacia para o futuro preenchimento dos
cargos, assinale a afirmativa que descreve corretamente as
competências dos órgãos da OAB.
",google/gemini-1.5-pro,google,gemini-1.5-pro,A,*,False,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Formalizou-se, no Tribunal Regional Eleitoral do Estado Alfa, a
vacância de um dos cargos de juiz eleitoral, reservado
constitucionalmente à classe de advogados. De igual modo, no
Tribunal Regional Federal da Enésima Região, sediado na capital
do mesmo Estado Alfa, com jurisdição nos Estados Alfa, Beta e
Gama , foi também formalizada a vacância de um cargo de juiz
federal do Tribunal Regional Fe deral, destinado à advocacia nos
termos da Constituição Federal (quinto constitucional).
Nesse hipotético cenário, que demandará a produção de duas
listas de membros da advocacia para o futuro preenchimento dos
cargos, assinale a afirmativa que descreve corretamente as
competências dos órgãos da OAB.

A. A) A lista para o preenchimento do cargo no TRE do Estado Alfa
ficará sob a incumbência do Conselho Seccional da OAB do
respectivo Estado, competindo ao Conselho Federal da OAB
elaborar a lista para o preenchimento do cargo no TRF da
Enésima Região.

B. B) A lista para o preenchimento do cargo no TRE do Estado Alfa
ficará sob a incumbência do Conselho Seccional da OAB do
respectivo Estado, competindo aos Conselhos Seccionais da
OAB dos Estados Alfa, Beta e Gama a elaboração conjunta da
lista para o preenchimento do cargo no TRF da Enésima
Região.

C. C) Uma vez que tanto a Justiça Eleitoral quanto a Justiça Federal
pertencem ao Poder Judiciário da União, competirá ao
Conselho Federal da OAB a elaboração das duas listas.

D. D) Uma vez que tanto o TRE do Estado Alfa quanto a sede do TRF
da Enésima Região estão situados no Estado Alfa, competirá
ao Conselho Seccional da OAB desse Estado a elaboração das
duas listas.

","A competência para a formação da lista tríplice para o preenchimento do quinto constitucional nos TREs é dos Conselhos Seccionais da OAB. No caso do TRF, como abrange mais de um estado (Alfa, Beta e Gama), a competência é do Conselho Federal da OAB.

Resposta: A
",107,46,62.34613108634949,True
5,6,"Valmir, bacharel em Direito, aprovado no Exame da Ordem dos Advogados do Brasil, ocupa o cargo público de agente de Polícia
Civil do Estado Alfa.
Movido por sentimento altruísta, Valmir requer sua inscrição na
OAB, pois pretende, nos momentos de folga da atividade policial,
exercer a advocacia de forma gratuita, eventual e voluntária, em
favor de instituições sociais sem fins econômicos que não
disponham de recursos para a contratação de profissional.
À luz dessas informações, e considerada a legislação vigente,
assinale a afirmativa correta.
",google/gemini-1.5-pro,google,gemini-1.5-pro,C,C,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Valmir, bacharel em Direito, aprovado no Exame da Ordem dos Advogados do Brasil, ocupa o cargo público de agente de Polícia
Civil do Estado Alfa.
Movido por sentimento altruísta, Valmir requer sua inscrição na
OAB, pois pretende, nos momentos de folga da atividade policial,
exercer a advocacia de forma gratuita, eventual e voluntária, em
favor de instituições sociais sem fins econômicos que não
disponham de recursos para a contratação de profissional.
À luz dessas informações, e considerada a legislação vigente,
assinale a afirmativa correta.

A. A) Valmir poderá exercer regularmente a advocacia, inclusive pro
bono .

B. B) Valmir não poderá exercer a advocacia remunerada, pois
ocupa cargo incompatível, mas poderá exercer a advocacia pro
bono .

C. C) Valmir não poderá exercer a advocacia, mesmo pro bono , uma
vez que o cargo público que ocupa atrai o regime da
incompatibilidade.

D. D) A condição de servidor público atrai o regime do impedimento,
razão pela qual Valmir não poderá exercer a advocacia contra
a Fazenda Pública que o remunera. Observado esse
impedimento, não haverá óbice para o exercício da advocacia
pro bono 
","Valmir é agente da Polícia Civil, o que o caracteriza como servidor público. O Estatuto da Advocacia e da OAB (Lei 8.906/94) trata das incompatibilidades e impedimentos ao exercício da advocacia.

O artigo 28, inciso V, da referida lei, estabelece que é **incompatível** com o exercício da advocacia, inclusive em causa própria, a atividade de servidores da administração direta, indireta e fundacional, contra a Fazenda Pública que os remunera ou à qual seja vinculada a entidade empregadora.  A incompatibilidade impede o exercício da advocacia em qualquer hipótese, seja remunerada ou gratuita (pro bono), contra ou a favor da Fazenda Pública que remunera o servidor ou à qual ele é vinculado.

No caso de Valmir, ele é servidor da administração direta do Estado Alfa. Portanto, ele é incompatível com o exercício da advocacia **contra** a Fazenda Pública que o remunera (Estado Alfa). A questão, no entanto, menciona que ele pretende atuar em favor de instituições sociais sem fins lucrativos, o que, em princípio, não configuraria atuação contra a Fazenda Pública que o remunera.

Entretanto, o § 1º do art. 28 esclarece que a incompatibilidade permanece, **mesmo que em causa própria**, e estende-se a **qualquer** outra atividade de advocacia. Isso significa que a incompatibilidade não se restringe à atuação contra a Fazenda Pública, mas abrange o exercício da advocacia em sua totalidade, independentemente de ser remunerada ou pro bono.

Portanto, Valmir não poderá exercer a advocacia, mesmo pro bono, devido à incompatibilidade gerada pelo seu cargo de agente da Polícia Civil.

Resposta: C
",84,251,68.18096685409546,False
6,7,"Mariângela, advogada trabalhista, foi intimada pelo juízo da Vara
do Trabalho de sua cidade para comparecer à audiência una,
designada para 16h15 de determinado dia.
Por estar amamentando sua filha Manuela, recém-nascida,
Mariângela protocolou petição nos a utos do respectivo processo,
requerendo preferência na ordem das audiências, mediante
comprovação da sua condição. O juiz, contudo, indeferiu o pedido,
com o argumento de que a causa é copatrocinada por uma
segunda advogada, conforme procuração constante dos autos, a
qual poderia participar do ato.
A respeito da hipótese narrada, assinale a afirmativa correta.
",google/gemini-1.5-pro,google,gemini-1.5-pro,D,D,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Mariângela, advogada trabalhista, foi intimada pelo juízo da Vara
do Trabalho de sua cidade para comparecer à audiência una,
designada para 16h15 de determinado dia.
Por estar amamentando sua filha Manuela, recém-nascida,
Mariângela protocolou petição nos a utos do respectivo processo,
requerendo preferência na ordem das audiências, mediante
comprovação da sua condição. O juiz, contudo, indeferiu o pedido,
com o argumento de que a causa é copatrocinada por uma
segunda advogada, conforme procuração constante dos autos, a
qual poderia participar do ato.
A respeito da hipótese narrada, assinale a afirmativa correta.

A. A) Diante da constatação de que há duas advogadas constituídas
pela parte, e à míngua de previsão legal, a condição de lactante
de Mariângela não é suficiente para o deferimento do pedido
de preferência.

B. B) Conquanto inexista previsão legal para o pedido formulado por
Mariângela, o juiz deveria ter deferido o pleito com base na
práxis judiciária e no princípio da razoabilidade.

C. C) Apenas se Mariângela compro vasse ser a única patrona da
causa, haveria previsão legal para que o pedido de preferência
fosse atendido.

D. D) Mariângela tem o direito de preferência assegurado em lei,
independentemente de haver outra advogada constituída nos
autos.

","O Estatuto da Advocacia e da OAB (Lei nº 8.906/94) assegura à advogada que esteja amamentando o direito à preferência na ordem das audiências, independentemente da existência de outro advogado constituído pela parte.  O artigo 7º, inciso XVIII, da referida lei, dispõe:  ""Art. 7º São direitos do advogado: (...) XVIII - preferência na ordem das sustentações orais e das audiências em geral, nos tribunais e juízos inferiores, devendo ser intimado com antecedência mínima de 3 (três) dias úteis, nos termos da lei processual; (Redação dada pela Lei nº 11.362, de 2006) Parágrafo único.  A preferência referida no inciso XVIII deste artigo não será concedida aos advogados públicos, defensores públicos e procuradores, nem nos processos em que funcione ou atue, exclusivamente, perante o juízo ou tribunal, o Procurador-Geral, o Advogado-Geral, o Defensor-Geral ou o Procurador do Trabalho, nem, tampouco, nos casos de audiências marcadas com hora certa ou no inquérito policial. (Incluído pela Lei nº 11.362, de 2006)”.


Resposta: D
",91,159,66.4725079536438,False
7,8,"Antônio Oliveira, advogado, come teu infração disciplinar no
exercício de suas funções, submetendo-se a processo disciplinar
perante o Tribunal de Ética e Disciplina do Conselho Seccional
competente.
Antônio contratou o advogado Pedro para defendê-lo no âmbito
do processo disciplinar. No que diz respeito à instauração,
instrução e tramitação do processo  disciplinar instaurado em face
de Antônio, assinale a afirmativa  correta que deverá ser observada
por Pedro, no exercício da defesa técnica.
",google/gemini-1.5-pro,google,gemini-1.5-pro,A,A,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Antônio Oliveira, advogado, come teu infração disciplinar no
exercício de suas funções, submetendo-se a processo disciplinar
perante o Tribunal de Ética e Disciplina do Conselho Seccional
competente.
Antônio contratou o advogado Pedro para defendê-lo no âmbito
do processo disciplinar. No que diz respeito à instauração,
instrução e tramitação do processo  disciplinar instaurado em face
de Antônio, assinale a afirmativa  correta que deverá ser observada
por Pedro, no exercício da defesa técnica.

A. A) O processo disciplinar poderá ser instruído por subseção ou
por relatores do próprio Conselho Seccional.

B. B) Antônio não poderá ser suspenso preventivamente sem oitiva
prévia, mesmo que não atenda às notificações de
comparecimento.

C. C) O processo disciplinar não poderá ser instaurado de ofício, sob
pena de violação do princípio acusatório.

D. D) Oferecida a defesa prévia, o relator do processo disciplinar
poderá decidir pelo arquivamento liminar da representação
","Vamos analisar cada alternativa:

**A) O processo disciplinar poderá ser instruído por subseção ou por relatores do próprio Conselho Seccional.**  Esta alternativa está correta. O Estatuto da Advocacia e da OAB (Lei 8.906/94), em seu art. 72, § 2º, prevê que a instrução pode ser feita por relatores do Conselho Seccional ou por comissões designadas pelo presidente ou pelo conselho da subseção.

**B) Antônio não poderá ser suspenso preventivamente sem oitiva prévia, mesmo que não atenda às notificações de comparecimento.** Esta alternativa está incorreta.  O art. 70, § 3º, do Estatuto da Advocacia e da OAB permite a suspensão preventiva em caso de repercussão prejudicial à dignidade da advocacia, após a notificação do advogado para prestar esclarecimentos, não sendo necessária a oitiva prévia caso ele não atenda à notificação.

**C) O processo disciplinar não poderá ser instaurado de ofício, sob pena de violação do princípio acusatório.** Esta alternativa está incorreta. O Estatuto da Advocacia e da OAB, em seu art. 71, inciso I, prevê a instauração de ofício como forma de iniciar o processo disciplinar.  Não há violação do princípio acusatório, pois a OAB atua como órgão de classe, zelando pela ética e disciplina de seus membros.

**D) Oferecida a defesa prévia, o relator do processo disciplinar poderá decidir pelo arquivamento liminar da representação.** Esta alternativa está incorreta. O relator não tem competência para arquivar liminarmente a representação.  Após a defesa prévia, o relator emite parecer, que será submetido ao Tribunal de Ética e Disciplina, conforme art. 72, § 6º, do Estatuto da OAB.

Resposta: A
",71,256,69.06847167015076,False
8,9,"“Portanto, a moralidade, e a humanidade
enquanto capaz de moralidade, são as únicas
coisas que têm dignidade.” Immanuel Kant
O artigo primeiro da Constituição Federal de 1988 determina que
a dignidade da pessoa humana é fundamento da República.
Filósofos e juristas há muito debatem o tema da dignidade.
Sobre o tema, assinale a opçã o que apresenta a posição de
Immanuel Kant, em seu livro Fundamentação da Metafísica dos
Costumes.
",google/gemini-1.5-pro,google,gemini-1.5-pro,B,B,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
“Portanto, a moralidade, e a humanidade
enquanto capaz de moralidade, são as únicas
coisas que têm dignidade.” Immanuel Kant
O artigo primeiro da Constituição Federal de 1988 determina que
a dignidade da pessoa humana é fundamento da República.
Filósofos e juristas há muito debatem o tema da dignidade.
Sobre o tema, assinale a opçã o que apresenta a posição de
Immanuel Kant, em seu livro Fundamentação da Metafísica dos
Costumes.

A. A) Aquele que pode participar dos destinos políticos da cidade é
quem possui e exerce sua dignidade.

B. B) Quando algo está acima de todo preço e, portanto, não
permite equivalente, então ele tem dignidade.

C. C) O amor à lei e à pátria conformam as bases da dignidade na
vida social e política.

D. D) A dignidade ocorre quando alguém possui elevada estima por
si mesmo, mantendo seu amor próprio.

","A alternativa B reflete o pensamento de Kant sobre dignidade. Kant argumenta que a dignidade está ligada à capacidade de ser moral, ou seja, de agir de acordo com a lei moral e não por inclinações ou interesses pessoais.  Essa capacidade racional e autônoma dá ao ser humano um valor intrínseco, que o coloca acima de qualquer preço e não admite equivalente.  As demais alternativas não correspondem à concepção kantiana.  A alternativa A vincula dignidade à participação política, o que não é central na teoria de Kant. A alternativa C  associa dignidade ao amor à lei e à pátria, conceitos que não são o cerne da sua argumentação. Por fim, a alternativa D define dignidade como elevada estima por si mesmo, o que se aproxima mais de uma ideia de autoestima ou autovalorização, diferente da fundamentação moral kantiana.

Resposta: B
",70,140,64.61697554588318,False
9,10,"Uma norma jurídica não vale porque tem um
determinado conteúdo ... (Hans Kelsen)
O que faz uma norma jurídica ser válida é tema central para a
teoria e a Filosofia do Direito.
Segundo o Normativismo Jurídico de Hans Kelsen, conforme
apresentado em seu livro Teoria Pura do Direito , a validade da
norma jurídica recai logicamente sobre uma categoria que é o ponto de partida do processo de criação do direito positivo.
Assinale a opção que apresenta essa categoria.
",google/gemini-1.5-pro,google,gemini-1.5-pro,C,C,True,"Responda à seguinte questão de múltipla escolha.
Explique o seu raciocínio e, ao final, responda ""Resposta: "" seguido da letra da resposta.
Questão: 
Uma norma jurídica não vale porque tem um
determinado conteúdo ... (Hans Kelsen)
O que faz uma norma jurídica ser válida é tema central para a
teoria e a Filosofia do Direito.
Segundo o Normativismo Jurídico de Hans Kelsen, conforme
apresentado em seu livro Teoria Pura do Direito , a validade da
norma jurídica recai logicamente sobre uma categoria que é o ponto de partida do processo de criação do direito positivo.
Assinale a opção que apresenta essa categoria.

A. A) O legislador democrático.

B. B) A soberania popular.

C. C) A norma fundamental pressuposta.

D. D) O direito das gentes.

","A questão aborda a fundamentação da validade da norma jurídica segundo Hans Kelsen. Kelsen argumenta que a validade de uma norma não deriva do seu conteúdo, mas sim de sua relação com outras normas em uma hierarquia.  Essa hierarquia se sustenta em uma norma hipotética fundamental, não posta, mas pressuposta, que dá validade à primeira norma positiva de um ordenamento jurídico, a qual, por sua vez, valida as normas inferiores a ela.  Não se trata de uma norma real, posta por alguma autoridade, mas sim de um pressuposto lógico-transcendental necessário para fundamentar o sistema normativo como um todo.  As outras opções não se encaixam na teoria kelseniana.  O legislador democrático e a soberania popular são importantes para a legitimidade democrática, mas não para a validade no sentido estritamente jurídico que Kelsen propõe. Já o direito das gentes (direito internacional) é um ordenamento jurídico à parte, e não o fundamento de validade de um ordenamento jurídico nacional específico.

Resposta: C
",79,159,65.16196060180664,False
